Create Account,0x2000000
Email Address,0x2000001
Login,0x2000002
Account Name,0x2000003
Password,0x2000004
Verify Password,0x2000005
A,0x2000006
B,0x2000007
C,0x2000008
D,0x2000009
E,0x200000a
F,0x200000b
G,0x200000c
H,0x200000d
I,0x200000e
J,0x200000f
K,0x2000010
L,0x2000011
M,0x2000012
N,0x2000013
O,0x2000014
P,0x2000015
Q,0x2000016
R,0x2000017
S,0x2000018
T,0x2000019
U,0x200001a
V,0x200001b
W,0x200001c
X,0x200001d
Y,0x200001e
Z,0x200001f
Wouldst thou like to view the introductory story and take a personality test to decide thy character?,0x2000020
Are you sure you want to delete this character? Character deletions are permanent and cannot be undone. Please type <C#00FF00>%s<C#FFFFFF> to confirm deletion.,0x2000021
Mismatched name verification,0x2000022
Art thou Male or Female?,0x2000023
"Entrusted to deliver an uncounted purse of gold, thou dost meet a poor beggar. Dost thou:<B>1) Deliver the gold knowing the trust in thee was well-placed<B>2) Give the beggar a coin, knowing it won't be missed?",0x2000024
"Thou hast been prohibited by thy absent Lord from joining thy friends in a close pitched battle. Dost thou:<B>1) Refrain, so thou may claim obedience<B>2) Aid thy comrades, knowing thou may deny it later?",0x2000025
"A merchant owes thy friend money, now long past due. Thou dost see the same merchant drop a purse of gold. Dost thou:<B>1) Return the purse intact<B>2) Give thy friend a portion of the gold first?",0x2000026
"Thee and thy friend are valiant but penniless warriors. Thou both go out to slay a mighty dragon. Thy friend thinks he slew it, thee did. When asked, dost thou:<B>1) Claim the gold<B>2) Allow thy friend the large reward?",0x2000027
"Thou art sworn to protect thy Lord at any cost, yet thou knowest he hast committed a crime. Authorities ask the of the affair, dost thou:<B>1) Silently keep thine oath<B>2) Break thine oath by speaking?",0x2000028
"Thy friend seeks admittance to thy Spiritual order. Thou art asked to vouch for his purity of Spirit, of which thou art unsure. Dost thou:<B>1) Express thy doubt<B>2) Vouch for him, hoping for his improvement?",0x2000029
"Thy Lord mistakenly believes he slew a dragon. Thou hast proof that thy lance felled the beast. When asked, dost thou:<B>1) Claim the kill and the prize<B>2) Permit thy Lord his belief?",0x200002a
Thou dost manage to disarm thy mortal enemy in a duel. He is at thy mercy. Dost thou:<B>1) Permit him to yield<B>2) Slay him as expected of a duelist?,0x200002b
After 20 years thou hast found the slayer of thy best friends. The villain proves to be a man who provides the sole support for a young girl. Dost thou:<B>1) Spare him for the girl<B>2) Slay him?,0x200002c
"Thee and thy friends have been routed and ordered to retreat. In defiance of thy orders, dost thou:<B>1) Stop to aid a wounded companion<B>2) Give thyself to slow the pursuing enemy, so others can escape?",0x200002d
Thou art sworn to uphold a Lord who participates in the forbidden torture of prisoners. Each night their cries of pain reach thee. Dost thou:<B>1) Report the deeds<B>2) Keep thine oath and ignore the deeds?,0x200002e
Thou hast been taught to preserve all life as sacred. A man lies fatally stung by a venomous serpent. He pleads for a merciful death. Dost thou:<B>1) End his pain<B>2) Heed thy beliefs and refuse?,0x200002f
"As one of the King's Guard, thy Captain has asked that one amongst you visit a hospital to cheer the children with tales of thy valiant deeds. Dost thou:<B>1) Agree and play the braggart<B>2) Let another go?",0x2000030
Thou hast been sent to secure a needed treaty with a distant Lord. Thy host is agreeable to the proposal but insults thy country at dinner. Dost thou:<B>1) Bear the slurs<B>2) Rise and demand an apology?,0x2000031
A mighty knight accosts thee and demands thy food. Dost thou:<B>1) Refuse and engage the knight<B>2) Give thy food unto the hungry knight?,0x2000032
During battle thou art ordered to guard thy commander's empty tent. The battle goes poorly and thou dost yearn to aid thy fellows. Dost thou:<B>1) Enter the battle to aid thy companions<B>2) Keep thy post as guard?,0x2000033
"A local bully pushes for a fight. Dost thou:<B>1) Trounce the rogue<B>2) Decline, knowing that no lasting good will come of it?",0x2000034
"Although a teacher of music, thou art a skillful wrestler. Thou hast been asked to fight in a local championship. Dost thou:<B>1) Accept the invitation and fight to win<B>2) Decline knowing thou art sure to win?",0x2000035
"During a pitched battle, thou dost see a fellow desert his post, endangering many. As he flees, he is set upon by several enemies. Dost thou:<B>1) Let him fight alone<B>2) Risk thine own life to aid him?",0x2000036
"Thou hast sworn to do thy Lord's bidding in all. He covets a piece of land and orders the owner removed. Dost thou:<B>1) Refuse to act, thus being disgraced<B>2) Keep thine oath and unfairly evict the landowner?",0x2000037
Thou dost believe that virtue resides in all people. Thou dost see a rogue steal from thy Lord. Dost thou:<B>1) Call him to justice<B>2) Personally try to sway him back to the path of good?,0x2000038
"Unwitnessed, thou hast slain a great dragon in self defense. A poor warrior claims the offered reward. Dost thou:<B>1) Step forward to claim the reward<B>2) Go about life, secure in thy self-esteem?",0x2000039
"Thou art a bounty hunter sworn to return an alleged murderer. After his capture, thou believest him to be innocent. Dost thou:<B>1) Surrender thy sizable bounty for thy belief<B>2) Keep thy oath to return him?",0x200003a
Thou hast spent thy life in charitable and righteous work. Thine uncle the innkeeper lies ill and asks you to take over his tavern. Dost thou:<B>1) Give thy life of purity to aid thy kin<B>2) Decline and follow thy spirit's call?,0x200003b
"Thou art an elderly, wealthy eccentric. Thy end is near. Dost thou:<B>1) Donate all thy wealth to feed hundreds of starving children, and receive public adulation<B>2) Quietly live out thy life, willing thy fortune to thy heirs?",0x200003c
In thy youth thou pledged to marry thy sweetheart. Now thou art on a sacred quest in distant lands. Thy sweetheart asks thee to keep thy vow. Dost thou:<B>1) Honor thy pledge to wed<B>2) Follow thy spiritual crusade?,0x200003d
"Thou art at a crossroads in thy life. Dost thou:<B>1) Choose the life of a Paladin, striving for Truth and Courage<B>2) Choose the life of a Shepherd, and a world of simplicity and peace?",0x200003e
Thy parents wish thee to become an apprentice. Two positions are available. Dost thou:<B>1) Become an acolyte in the spiritual order<B>2) Become an assistant to a humble village cobbler?,0x200003f
The gypsy places the first two cards upon the table.,0x2000040
The gypsy places two more of the cards upon the table.,0x2000041
"They are the cards of %s and %s. She says ""Consider this:""",0x2000042
By what name shalt thou be known in this world and time?,0x2000043
Checking player name...,0x2000044
That character name already exists. Please enter a different name.,0x2000045
That name is not allowed,0x2000046
That name is not available,0x2000047
That name could not be reserved,0x2000048
Validating character name...,0x2000049
By what password shall thee be identified?,0x200004a
Please verify thy password:,0x200004b
Passwords match,0x200004c
Passwords do not yet match,0x200004d
Select thy character type from the list below:,0x200004e
Mage - Wizard,0x200004f
Mage - Alchemist/Wizard,0x2000050
Bard - Thief,0x2000051
Bard - Lark/Thief,0x2000052
Fighter,0x2000053
Fighter - Barbarian/Fighter,0x2000054
Druid - Druid/Wizard,0x2000055
Druid - Wizard,0x2000056
Tinker - Barbarian/Fighter,0x2000057
Tinker - Fighter,0x2000058
Paladin - Paladin/Cleric,0x2000059
Paladin - Cleric,0x200005a
Ranger - Ranger/Thief,0x200005b
Ranger - Thief,0x200005c
Shepherd - Cleric,0x200005d
Shepherd - Illusionist/Cleric,0x200005e
No characters available,0x200005f
No more available character slots for this account,0x2000060
"The day is warm, yet there is a cooling breeze. The latest in a series of personal crises seems insurmountable. You are being pulled apart in all directions.",0x2000061
Yet this afternoon walk in the country side slowly brings relaxation to your harried mind. The soil and strain of modern high-tech living begins to wash off in layers. That willow tree near the stream looks comfortable and inviting.,0x2000062
"The buzz of dragonflies and the whisper of the willow's swaying branches bring a deep peace. Searching inward for tranquility and happiness, you close your eyes.",0x2000063
"A high-pitched cascading sound like crystal wind-chimes impinges on your floating awareness. As you open your eyes, you see a shimmering blueness rise from the ground. The sound seems to be emanating from this glowing portal.",0x2000064
"It is difficult to look at the blueness. Light seems to bend and distort around it, while the sound waves become so intense, they appear to become visible.",0x2000065
"The portal hangs there for a moment; then, with the rush of an imploding vacuum, it sinks into the ground. Something remains suspended in mid-air for a moment before falling to earth with a heavy thud.",0x2000066
"Somewhat shaken by this vision, you rise to your feet to investigate. A crude circle of stones surrounds the spot where the portal appeared. There is something glinting in the grass.",0x2000067
"You pick up an amulet shaped like a cross with a loop at the top. It is an Ankh, the sacred symbol of life and rebirth. But this could not have made the thud, so you look again and find a large book wrapped in thick cloth!",0x2000068
"With trembling hands you unwrap the book. Behold, the cloth is a map, and within lies not one book, but two. The map is of a land strange to you, and the style speaks of ancient cartography.",0x2000069
The script on the cover of the first book is arcane but readable. The title is: <C#00FF00>The History of Britannia as told by Kyle the Younger<C#FFFFFF>,0x200006a
"The other book is disturbing to look at. Its small cover appears to be fashioned out of some sort of leathery hide, but from what creature is uncertain. The reddish-black skin radiates an intense aura suggestive of ancient power.",0x200006b
"The tongue of the title is beyond your ken. You dare not open the book and disturb whatever sleeps within. You decide to peruse the History. Settling back under the willow tree, you open the book.",0x200006c
<C#00FF00>(You read the book of History)<C#FFFFFF>,0x200006d
"Closing the book, you again pick up the Ankh. As you hold it, you begin to hear a hauntingly familiar, lute-like sound wafting over a nearby hill. Still clutching the strange artifacts, you rise unbidden and climb the slope.",0x200006e
"In the valley below you see what appears to be a fair. It seems strange that you came that way earlier and noticed nothing. As you mull this over, your feet carry you down towards the site.",0x200006f
"This is no ordinary traveling carnival, but a Renaissance fair. The pennants on the tent tops blow briskly in the late afternoon breeze.",0x2000070
"The ticket taker at the RenFair's gate starts to ask you for money, but upon spotting your Ankh says, ""Welcome, friend. Enter in peace and find your path.""",0x2000071
The music continues to pull you forward amongst the merchants and vendors. Glimpses of fabulous treasures can be seen in some of the shadowy booths.,0x2000072
"These people are very happy. They seem to glow with an inner light. Some look up as you pass and smile, but you cannot stop - the music compels you to move onward through the crowd.",0x2000073
"Through the gathering dusk you see a secluded gypsy wagon sitting off in the woods. The music seems to emanate from the wagon. As you draw near, a woman's voice weaves into the music, saying: ""You may approach, O seeker.""",0x2000074
You enter to find an old gypsy sitting in a small curtained room. She wears an Ankh around her neck. In front of her is a round table covered in deep green velvet. The room smells so heavily of incense that you feel dizzy.,0x2000075
"Seeing the Ankh, the ancient gypsy smiles and warns you never to part with it. ""We have been waiting such a long time, but at last you have come. Sit here and I shall read the path of your future.""",0x2000076
"Upon the table the gypsy places a curious wooden object like an abacus but without beads. In her hands she holds eight unusual cards. ""Let us begin the casting.""",0x2000077
"With the final choice, the incense swells up around you. The gypsy speaks as if from a great distance, her voice growing fainter with each word: ""So be it! Thy path is chosen!""",0x2000078
"There is a moment of intense, wrenching vertigo. As you open your eyes, a voice whispers within your mind, ""Seek the counsel of thy sovereign."" After a moment, the spinning subsides, and you open your eyes to...",0x2000079
Attack,0x200007a
Board,0x200007b
Bribe,0x200007c
Cast Spell!,0x200007e
Descend,0x200007f
Dismount,0x2000082
Enter,0x2000083
Extinguish light!,0x2000084
Fire,0x2000085
Get Chest!,0x2000086
Hole up and camp,0x2000087
Hyperwarp to:,0x2000088
Ignite torch,0x2000089
Insert card,0x200008a
Jimmy lock,0x200008c
Klimb,0x200008d
Klimb altitude!,0x200008e
Landing Requested!,0x200008f
Launch Rocket!,0x2000090
Look,0x2000091
Toss a coin?,0x2000092
Alakazot!,0x2000093
Spell found,0x2000094
Weapon found,0x2000095
Meditate,0x2000096
Mix reagents,0x2000098
Nip potion,0x2000099
Open,0x200009a
Other command:,0x200009b
Peer at a gem!,0x200009c
Peer from magic helm!,0x200009d
Stop peering!,0x200009e
Quit and save,0x20000a0
Ready a weapon,0x20000a1
Search,0x20000a2
Steal,0x20000a4
Talk,0x20000a5
Transact,0x20000a6
Use item,0x20000a7
Volume,0x20000a8
Music & Sound Effects Enabled,0x20000a9
Music Disabled,0x20000aa
Sound Effects Disabled,0x20000ab
Music & Sound Effects Disabled,0x20000ac
Wear armour,0x20000ad
Xeno:,0x20000ae
X-it,0x20000af
Yako:,0x20000b0
Yell,0x20000b1
Zabo:,0x20000b2
Z-stats,0x20000b3
Level,0x20000b4
Very well...,0x20000c5
How many wouldst thou like to buy?,0x20000c6
A fine choice!,0x20000c7
Fare thee well!,0x20000c8
You have not the funds!,0x20000c9
Anything else?,0x20000ca
Welcome to,0x20000cb
Your interest?,0x20000cc
Very well...,0x20000cd
Wouldst thou like to buy?,0x20000ce
A fine choice!,0x20000cf
Fare thee well!,0x20000d0
You have not the funds!,0x20000d1
Anything else?,0x20000d2
Welcome to,0x20000d3
Your interest?,0x20000d4
Acid Trap!,0x20000d5
You have been granted admin privileges.,0x20000d6
Already Landed!,0x20000d7
Already used!,0x20000d8
You awaken on the shores of a forgotten Land... your ship and some of its crew lost to the sea!,0x20000d9
amount,0x20000da
Argh-Choke-Gasp!,0x20000db
Available commands,0x20000dc
Available maps,0x20000dd
Awakened!,0x20000de
You remove several strong shoots of bamboo.,0x20000df
Barely wounded,0x20000e0
The bell rings on and on!,0x20000e1
The bell sounds an eerie tone and begins to glow!,0x20000e2
You find a tarnished bell.,0x20000e3
"In the ground beneath the moongate, you dig up a black stone.",0x20000e4
Bleck--Nasty!,0x20000e5
Blocked!,0x20000e6
"You draw up the the bucket and in it, you find a blue stone.",0x20000e7
Blue Tassle required!,0x20000e8
Board aircar!,0x20000e9
Board balloon!,0x20000ea
Board cart!,0x20000eb
Board plane!,0x20000ec
Board rocket!,0x20000ed
Board ship!,0x20000ee
Board shuttle!,0x20000ef
Board raft!,0x20000f0
Board spaceship!,0x20000f1
Board time machine!,0x20000f2
Board what?,0x20000f3
Bomb Trap!,0x20000f4
You find a human bone!,0x20000f5
The words resonate with the ringing!,0x20000f6
The text changes before thyne eyes!,0x20000f7
You find a book called 'The Principle of Truth.',0x20000f8
Brass Button required!,0x20000f9
Bribed!,0x20000fa
You have disturbed a Bridge Troll!,0x20000fb
Broadsides only! ,0x20000fc
A campfire requires %d torches!,0x20000fd
"As you light the candle, the earth trembles!",0x20000fe
"The wick ignites into a brilliant ball of light, turning the candle gold!",0x20000ff
"You find a plain, white candle.",0x2000100
may not use,0x2000101
may not use a,0x2000102
Can't!,0x2000103
Cannot rest when poisoned!,0x2000104
You find a Card of Death!,0x2000105
You find a Card of Love!,0x2000106
You find a Card of Sol!,0x2000107
You find a Card of Moons!,0x2000108
A %s CANNOT cast spells!,0x2000109
Oh no! Thou wert caught!,0x200010a
Patching updated files...,0x200010b
Restarting client...,0x200010c
This game requires RUM Client version %d.%d. You are currently running with version %d.%d. Please install the required RUM Client version and try again.,0x200010d
Invalid Client Version,0x200010e
You command the transport.,0x200010f
Invalid server address,0x2000110
Connecting to %s:%s...,0x2000111
Failed to connect to a game server at the specified address,0x2000112
Critical,0x2000113
Cured!,0x2000114
It's Dark!,0x2000115
Hmmm--Delicious!,0x2000116
Dexterity + %d,0x2000117
Only shuttles are equipped to enter the atmosphere!,0x2000118
"About the remains, you find a large red dragonscale.",0x2000119
Drift only!,0x200011a
Dungeons only!,0x200011b
Electrified!,0x200011c
Evaded!,0x200011d
"As Exodus grinds to a halt, the castle begins to sink!",0x200011e
You find Exotic armour!,0x200011f
You find an Exotic weapon!,0x2000120
Experience +%d,0x2000121
Failed!,0x2000122
Falling Rocks!,0x2000123
You fell from the balloon!,0x2000124
Fire what?,0x2000125
Fleeing,0x2000126
Food pilfered!,0x2000127
Thou hast found a key!,0x2000128
Thou doth find one third of the Three Part Key!,0x2000129
Thou hast found a captive princess!,0x200012a
Thou art free.,0x200012b
Gas bomb!,0x200012c
You remove a gemstone from a hidden space beneath the floorboards.,0x200012d
A ghostly form materializes beside the bed!,0x200012e
Received %s from,0x200012f
is giving you something...,0x2000130
Gave %s to,0x2000131
Gold pilfered!,0x2000132
You find a large chunk of solid granite.,0x2000133
"Near the base of the ancient tree, you find a green stone.",0x2000134
CAUTION: Your account has been flagged due to suspicious activity.,0x2000135
Torches require one free hand!,0x2000136
Healed!,0x2000137
Heavily wounded,0x2000138
Help!,0x2000139
Hmmm--No Effect!,0x200013a
The horn issues a thunderous bellow as the outer layer cracks to reveal a silver sheen within.,0x200013b
You find an old daemon horn!,0x200013c
The Horn sounds an eerie tone!,0x200013d
HYPERWARP ENGAGED!,0x200013e
PREPARE FOR HYPERWARP!,0x200013f
You are about to be logged out due to inactivity.,0x2000140
"As you spot the wreckage of the H.M.S. Cape, your ship's wheel glows with a blue light!",0x2000141
Intelligence + %d,0x2000142
Invalid Command!,0x2000143
Invalid direction!,0x2000144
Hmmm--Invigorating!,0x2000145
You remove a large piece of ivory from the dead serpent.,0x2000146
Your gold and keys have been temporarily confiscated!,0x2000147
You have been released from jail.,0x2000148
Estimated jail time is %1.1f minute(s).,0x2000149
You have been jailed for your crimes!,0x200014a
%s Killed!,0x200014b
Launch first!,0x200014c
Launch sequence initiated!,0x200014d
Thou hast lifted off!,0x200014e
You feel less virtuous!,0x200014f
Lightly wounded,0x2000150
Could not find the Ultima %d installation at the specified path,0x2000151
Locked!,0x2000152
Lord British says: I have pulled thy spirit and some possessions from the void. Be more careful in the future!,0x2000153
Thou hast lost an eighth!,0x2000154
M.P. too low! Failed!,0x2000155
You find Mandrake Root!,0x2000156
It left the Mark of Kings!,0x2000157
It left the Mark of Force!,0x2000158
It left the Mark of Fire!,0x2000159
It left the Mark of the Snake!,0x200015a
Missed!,0x200015b
Thou dost not bear the rune of entry! A strange force keeps you out!,0x200015c
It fizzles!,0x200015d
A %s  CANNOT mix reagents!,0x200015e
For Spell,0x200015f
You mix the reagents and...,0x2000160
Mondain is dead!...or is he?,0x2000161
Mondain's magical aura doth seem substantially diminished in the absence of the gem...,0x2000162
The Gem is DESTROYED!,0x2000163
THOU ART VICTORIOUS!,0x2000164
You feel more virtuous!,0x2000165
Morning!,0x2000166
Mount horse!,0x2000167
Land first!,0x2000168
Use the Yell command to talk to other players!,0x2000169
You find Mystic Armour!,0x200016a
You find a Mystic Sword!,0x200016b
You find Nightshade!,0x200016c
No effect!,0x200016d
No keys left!,0x200016e
"Funny, No Response!",0x200016f
No room!,0x2000170
Thou must have a shuttle pass to board!,0x2000171
None owned!,0x2000172
You do not command the transport!,0x2000173
Not here!,0x2000174
Thou art not a party member!,0x2000175
Nothing Here!,0x2000176
Online players,0x2000177
On foot only!,0x2000178
Opened!,0x2000179
"On the altar, you find an orange stone.",0x200017a
Out of range!,0x200017b
Outdoors only!,0x200017c
%s is already in a party!,0x200017d
The party has been disbanded.,0x200017e
You have been dismissed from the party.,0x200017f
Party full!,0x2000180
"%s invites you to join their party, accept?",0x2000181
%s has declined the party invitation.,0x2000182
Your party invitation has expired.,0x2000183
%s did not respond to the party invitation.,0x2000184
%s cannot currently accept party invitations.,0x2000185
Party invitation sent to %s.,0x2000186
%s has joined the party.,0x2000187
You are designated as party leader.,0x2000188
You have left the party.,0x2000189
%s has been designated as party leader.,0x200018a
You are not the party leader!,0x200018b
%s was dismissed from the party.,0x200018c
%s has left the party.,0x200018d
%s could not be found or is not online.,0x200018e
You can't create or join a party from a solo instance!,0x200018f
Pit Trap!,0x2000190
Poison Trap!,0x2000191
Poisoned!,0x2000192
PREPARE FOR LAUNCH!,0x2000193
"She giveth thee 500 hit points, pence and experience points.",0x2000194
"In the grave, you dig up a purple stone.",0x2000195
"Near the crater, you find a red stone.",0x2000196
Ahh--Refreshing!,0x2000197
Resting...,0x2000198
Press '+' to re-enter your body.,0x2000199
Press '-' to resurrect from the Void.,0x200019a
"Lat: %c'%c""",0x200019b
"Long: %c'%c""",0x200019c
Shazam!,0x200019d
Thou art not able to focus thy thoughts with that Mantra!,0x200019e
Thou art unable to focus thy thoughts on this subject!,0x200019f
You offer %d gold to the shrine...,0x20001a0
Thou hast achieved partial avatarhood...,0x20001a1
Thy thoughts are pure. Thou art granted a vision!,0x20001a2
Thy mind is still weary from thy last meditation!,0x20001a3
You cast the skull fragment into the Abyss!,0x20001a4
You find a skull fragment!,0x20001a5
Skull Key required!,0x20001a6
Sleep Trap!,0x20001a7
You find some fired soapstone.,0x20001a8
Space Ace Commendation,0x20001a9
Thou art not equipped for the harshness of space!,0x20001aa
Starving!,0x20001ab
Thou dost find %s,0x20001ac
A strange force keeps you out!,0x20001ad
Winds!,0x20001ae
Strength + %d,0x20001af
Success!,0x20001b0
Thief!,0x20001b1
Thou canst not determine how to operate the craft at this time.,0x20001b2
"You see a vision of the Time Lord. He tells you the one way is: %s, %s, %s & %s. All else fails.",0x20001b3
Tri-Lithium required!,0x20001b4
Turning,0x20001b5
The Chest Holds: ,0x20001b6
The Chest Holds: %d Gold,0x20001b7
Unknown command,0x20001b8
Unlocked!,0x20001b9
BE CAREFUL!,0x20001ba
A huge swirling Whirlpool engulfs you and your ship dragging both to a watery grave!... As the water enters your lungs you pass into Darkness!,0x20001bb
"On the ground before the ankh, you find a white stone.",0x20001bc
Wisdom + %d,0x20001bd
X-it what?,0x20001be
"In the hold, you find a yellow stone.",0x20001bf
y/n,0x20001c0
You take a small branch of yew.,0x20001c1
Food,0x20001c2
Gold,0x20001c3
Hitpoints,0x20001c4
Mana,0x20001c5
I have already carved thee a rune!,0x20001c6
Buy,0x20001c7
Bye,0x20001c8
That I cannot help thee with.,0x20001c9
Carve,0x20001ca
"I can carve thee a rune that will allow passage into the shrine, but only if the material I carve it from is gathered by thee out of an act of",0x20001cb
Dismiss from party,0x20001cc
Give,0x20001cd
How much?,0x20001ce
says: I am,0x20001cf
Thou art incorrect.,0x20001d0
Invite to party,0x20001d1
No,0x20001d2
Thou hast not that much!,0x20001d3
Thou hast not that much gold!,0x20001d4
Promote to leader,0x20001d5
Sell,0x20001d6
Tell,0x20001d7
"Oh, Thank thee! I shall never forget thy kindness!",0x20001d8
turns away!,0x20001d9
What is the symbol of,0x20001da
Yes,0x20001db
Yes or no!,0x20001dc
You meet,0x20001dd
You say,0x20001de
You see,0x20001df
Your Interest,0x20001e0
Â© 1985 Lord British,0x20001e1
Delete Character,0x20001e2
Exit Game,0x20001e3
Initiate New Game,0x20001e4
"In another world, in a time to come.",0x20001e5
Journey Onward,0x20001e6
Logout,0x20001e7
Address,0x20001e8
and,0x20001e9
Armour,0x20001ea
No Armour,0x20001eb
Worn,0x20001ec
the,0x20001ed
a,0x20001ee
an,0x20001ef
Attributes,0x20001f0
Card:,0x20001f1
Cards,0x20001f2
Coin,0x20001f3
Connect,0x20001f4
Copper,0x20001f5
Copper Pieces,0x20001f6
direction,0x20001f7
Equipment,0x20001f8
Equipped,0x20001f9
Female,0x20001fa
Gold,0x20001fb
Gold Crowns,0x20001fc
Hands,0x20001fd
Items,0x20001fe
Male,0x20001ff
Marks,0x2000200
Mixtures,0x2000201
"No, choose character from list",0x2000202
or,0x2000203
Other,0x2000204
Party,0x2000205
Port,0x2000206
Press Any Key,0x2000207
Reagents,0x2000208
Runes,0x2000209
Self,0x200020a
Silver,0x200020b
Silver Pieces,0x200020c
Spell,0x200020d
Spells,0x200020e
Stones,0x200020f
target,0x2000210
Transports,0x2000211
Unspecified,0x2000212
Weapons,0x2000213
what?,0x2000214
Wind,0x2000215
"Yes, introduction and test",0x2000216
Chain Mail,0x2000217
Leather,0x2000218
Plate Mail,0x2000219
Reflect Suit,0x200021a
Vacuum Suit,0x200021b
Adventurer,0x200021c
Balron,0x200021d
Bard,0x200021e
Bat,0x200021f
Bear,0x2000220
Carrion Creeper,0x2000221
Cleric,0x2000222
Cyclops,0x2000223
Daemon,0x2000224
Dark Knight,0x2000225
Dragon Turtle,0x2000226
Ettin,0x2000227
Evil Ranger,0x2000228
Evil Trent,0x2000229
Fighter,0x200022a
Gelatinous Cube,0x200022b
Giant Squid,0x200022c
Gremlin,0x200022d
Guard,0x200022e
Hidden Archer,0x200022f
Hood,0x2000230
Invisible Seeker,0x2000231
Jester,0x2000232
King,0x2000233
Knight,0x2000234
Lecher,0x2000235
Lich,0x2000236
Lizard Man,0x2000237
Mimic,0x2000238
Mind Whipper,0x2000239
Minotaur,0x200023a
Mondain,0x200023b
Necromancer,0x200023c
Ness Creature,0x200023d
Orc,0x200023e
Pirate Ship,0x200023f
Princess,0x2000240
Giant Rat,0x2000241
Skeleton,0x2000242
Alien,0x2000243
Spider,0x2000244
Tangler,0x2000245
Thief,0x2000246
Villager,0x2000247
Viper,0x2000248
Wandering Eyes,0x2000249
