Create Account,0x2000000
Healed!,0x200064e
Healing,0x200064f
We cannot perform that service!,0x2000650
Heal and Health,0x2000651
Triplet,0x2000652
The Royal Healer,0x2000653
Pendragon,0x2000654
The Truth Healer,0x2000655
Starfire,0x2000656
The Healer,0x2000657
Harmony,0x2000658
Healing Potions,0x2000659
Sold!,0x200065a
Wilt thou pay?,0x200065b
Do you need more help?,0x200065c
Your need?,0x200065d
Binding successful!,0x200065e
Resurrection,0x200065f
Courage Healer,0x2000660
Windwalker,0x2000661
The Mystic Heal,0x2000662
Spiran,0x2000663
Then I cannot aid thee.,0x2000664
Just Healing,0x2000665
Justin,0x2000666
Britannia Manor,0x2000667
We have a modest sized room with 1 bed for %ugp.,0x2000668
Jason,0x2000669
You won't find a better deal in this towne!,0x200066a
Very good. Have a pleasant night.,0x200066b
"If you can't pay, you can't stay! Good Bye.",0x200066c
"1, 2 or 3 beds?",0x200066d
The Innkeep says: Welcome to ,0x200066e
I am,0x200066f
The Innkeeper says: Get that horse out of here!!!,0x2000670
In the middle of the night...,0x2000671
The Inn of Ends,0x2000672
We have a very secure room of modest size and 1 bed for %ugp.,0x2000673
Smirk,0x2000674
"Oh, and don't mind the strange noises, it's only rats!",0x2000675
Wayfarer's Inn,0x2000676
"We have three rooms available, a 1, 2 and 3 bed room for %u, %u and %ugp each.",0x2000677
Estro,0x2000678
The Honest Inn,0x2000679
We have a room with 2 beds that rents for %ugp.,0x200067a
Scatu,0x200067b
"Alas, there is no vacancy!",0x200067c
says: Then you have come to the wrong place! Good day.,0x200067d
Are you in need of lodging?,0x200067e
Take it?,0x200067f
"Sorry, but that room is no longer available!",0x2000680
The Inn of the Spirits,0x2000681
"Unfortunately, I have but only a very small room with 1 bed: worse yet, it is haunted! If you do wish to stay it costs %ugp.",0x2000682
Tyrone,0x2000683
Honorable Inn,0x2000684
We have a single bed room with a back door for %ug.,0x2000685
Zajac,0x2000686
The Sleep Shop,0x2000687
"All we have is that cot over there. But it is comfortable, and only %ugp.",0x2000688
Tymus,0x2000689
Adventure Food,0x200068a
Windrick,0x200068b
Too bad. Maybe next time.,0x200068c
"Goodbye, come again!",0x200068d
You have not the funds!,0x200068e
"We have the best adventure rations, %u for only %u %s.",0x200068f
You have not the need!,0x2000690
"says: Good day, and welcome friend!",0x2000691
The Sage Deli,0x2000692
Shaman,0x2000693
The Market,0x2000694
Max,0x2000695
May I interest you in some rations?,0x2000696
How many packs of %u would you like?,0x2000697
Anything else?,0x2000698
Thank you.,0x2000699
Food for Thought,0x200069a
Mintol,0x200069b
Welcome to,0x200069c
The Dry Goods,0x200069d
Donnar,0x200069e
Magic Mentar,0x200069f
Shannon,0x20006a0
says: Perhaps another time then.... and slowly turns away.,0x20006a1
"Very well, I have",0x20006a2
"Very well, we sell %s for %ugp. How many would you like?",0x20006a3
A blind woman turns to you and says: Welcome to ,0x20006a4
I am,0x20006a5
That reagent is not available here.,0x20006a6
Magical Herbs,0x20006a7
Margot,0x20006a8
The Magics,0x20006a9
Sheila,0x20006aa
"Very good, that will be %ugp. You pay:",0x20006ab
Are you in need of reagents?,0x20006ac
How many would you like?,0x20006ad
Anything else?,0x20006ae
Your interest?,0x20006af
"I see, then.",0x20006b0
Very good.,0x20006b1
Herbs and Spice,0x20006b2
Sasha,0x20006b3
"A shame, thou looks like thou could use a good horse!",0x20006b4
"Here, a better breed thou shalt not find ever!",0x20006b5
It seems thou hast not gold enough to pay!,0x20006b6
For only %ugp thou can have the best! Wilt thou buy?,0x20006b7
says: Welcome to ,0x20006b8
I see thou dost own a great steed already!,0x20006b9
Paws Pony,0x20006ba
Buck,0x20006bb
Can I interest thee in horses?,0x20006bc
Wilt thou buy?,0x20006bd
Ale,0x20006be
Here's a mug of our best. That'll be %u %s. You pay?,0x20006bf
Jolly Spirits,0x20006c0
Sam,0x20006c1
Lamb Chops,0x20006c2
Captain Black Tavern,0x20006c3
The Cap'n,0x20006c4
Dog Meat Pie,0x20006c5
See ya mate!,0x20006c6
"That subject is a bit foggy, perhaps more gold will refresh my memory. You give:",0x20006c7
Food,0x20006c8
Here ye arr. Somethin' else?,0x20006c9
says: Welcome to,0x20006ca
The Bloody Pub,0x20006cb
Celestial,0x20006cc
Dragon Tartar,0x20006cd
Fraid I can't help ya there friend!,0x20006ce
"Sorry, I can't help ya mate!",0x20006cf
Folley Tavern,0x20006d0
Greg 'n Rob,0x20006d1
Folley Filet,0x20006d2
"What'll it be, Food er Ale?",0x20006d3
Anythin' else?,0x20006d4
"Our specialty is %s, which costs %u %s. Would you like a plate?",0x20006d5
What'd you like to know friend?,0x20006d6
The Keg Tap,0x20006d7
Terran,0x20006d8
Brown Beans,0x20006d9
Axe 'n Ale,0x20006da
Arron,0x20006db
Green Granukit,0x20006dc
"Won't pay, eh? Ya scum, be gone fore ey call the guards!",0x20006dd
Windsor Weaponry,0x20006de
Winston,0x20006df
Hook's Arms,0x20006e0
Hook,0x20006e1
Very Good! I can show you a,0x20006e2
Too bad.,0x20006e3
Wouldst thou like to buy?,0x20006e4
A fine choice!,0x20006e5
says: Fare thee well!,0x20006e6
You have not the funds!,0x20006e7
Anything else?,0x20006e8
"We are the only staff makers in Britannia, yet sell them for only %ugp.",0x20006e9
"A Halberd is a mighty weapon to attack over obstacles, a must and only %ugp.",0x20006ea
This magical axe can be thrown at thy enemy and will then return all for %ugp.,0x20006eb
Magical swords such as these are rare indeed. I will part with one for %ugp.,0x20006ec
A magical bow will keep thy enemies far away or dead! A must for %ugp!,0x20006ed
"This magic wand casts mighty blue bolts to strike down thy foes, %ugp.",0x20006ee
"We sell the most deadly of daggers, a bargain at only %ugp each.",0x20006ef
"Our slings are made from only the finest gut and leather, 'tis yours for %ugp.",0x20006f0
"These maces have a hardened shaft and a five-pound head, fairly priced at %ugp.",0x20006f1
"Notice the fine workmanship on this axe, you'll agree %ugp is a good price.",0x20006f2
"The fine work on these swords will be the dread of thy foes, for %ugp.",0x20006f3
"Our bows are made of finest yew and the arrows willow, a steal at %ugp.",0x20006f4
"Crossbows made from Iolo the Bard are the finest in the world, yours for %ugp.",0x20006f5
Flasks of oil make great weapons and creates a wall of flame too. %ugp each.,0x20006f6
Welcome to,0x20006f7
says: Welcome friend! Art thou here to buy or sell?,0x20006f8
Willard's Weaponry,0x20006f9
Willard,0x20006fa
The Iron Works,0x20006fb
Peter,0x20006fc
Your interest?,0x20006fd
Buy or Sell?,0x20006fe
Excellent! Which wouldst you sell?,0x20006ff
Hmmph.,0x2000700
You have nothing to sell!,0x2000701
I will give you %ugp for that %s. Deal?,0x2000702
Fine! Sold!,0x2000703
Duelling Weapons,0x2000704
Jumar,0x2000705
Village Arms,0x2000706
Wendy,0x2000707
Avatar,0x2000708
Bard,0x2000709
Druid,0x200070a
Fighter,0x200070b
Mage,0x200070c
Paladin,0x200070d
Ranger,0x200070e
Shepherd,0x200070f
Tinker,0x2000710
castle,0x2000711
cave entrance,0x2000712
dungeon entrance,0x2000713
keep,0x2000714
ladder leading down,0x2000715
ladder leading up and down,0x2000716
ladder leading up,0x2000717
ruins,0x2000718
shrine,0x2000719
towne,0x200071a
village,0x200071b
volcano,0x200071c
Dexterity,0x200071d
Experience,0x200071e
Food,0x200071f
Gems,0x2000720
Gold,0x2000721
Hitpoints,0x2000722
Horse,0x2000723
Intelligence,0x2000724
Bell,0x2000725
Book,0x2000726
Candle,0x2000727
Sextant,0x2000728
Silver Horn,0x2000729
Skull Fragment,0x200072a
Keys,0x200072b
Level,0x200072c
Mana,0x200072d
Class,0x200072e
Potions,0x200072f
Black Pearl,0x2000730
Blood Moss,0x2000731
Garlic,0x2000732
Ginseng,0x2000733
Mandrake Root,0x2000734
Nightshade,0x2000735
Spider Silk,0x2000736
Sulphurous Ash,0x2000737
Awaken,0x2000738
Blink,0x2000739
Cure,0x200073a
Dispell,0x200073b
Energy Field,0x200073c
Fireball,0x200073d
Gate Travel,0x200073e
Heal,0x200073f
Iceball,0x2000740
Jinx,0x2000741
Kill,0x2000742
Light,0x2000743
Magic Missile,0x2000744
Negate,0x2000745
Open,0x2000746
Protection,0x2000747
Quickness,0x2000748
Resurrect,0x2000749
Sleep,0x200074a
Tremor,0x200074b
Undead,0x200074c
View,0x200074d
Wind Change,0x200074e
X-it,0x200074f
Y-up,0x2000750
Z-down,0x2000751
Strength,0x2000752
Torches,0x2000753
Compassion,0x2000754
Honesty,0x2000755
Honor,0x2000756
Humility,0x2000757
Justice,0x2000758
Sacrifice,0x2000759
Spirituality,0x200075a
Valor,0x200075b
Black Pearl,0x200075c
Blood Moss,0x200075d
Garlic,0x200075e
Ginseng,0x200075f
Mandrake Root,0x2000760
Nightshade,0x2000761
Spider Silk,0x2000762
Sulphurous Ash,0x2000763
Gemstone,0x2000764
Bamboo,0x2000765
Dragonscale,0x2000766
Yew branch,0x2000767
Soapstone,0x2000768
Granite,0x2000769
Ivory,0x200076a
Bone,0x200076b
Hawkwind says: Fare thee well and may thou complete the Quest!,0x200076c
"Welcome, %s. I am Hawkwind, Seer of Souls. I see that which is within thee and drives thee to deeds of good or evil...",0x200076d
He says: That is not a subject for enlightenment.,0x200076e
Thou hast become a partial Avatar in that attribute. Thou need not my insights.,0x200076f
For what path dost thou seek enlightenment?,0x2000770
Hawkwind asks: What other path seeks clarity?,0x2000771
Awaken,0x2000772
Blink,0x2000773
Cure,0x2000774
Dispell,0x2000775
Energy Field,0x2000776
Fire,0x2000777
Lightning,0x2000778
Poison,0x2000779
Sleep,0x200077a
Fireball,0x200077b
Gate Travel,0x200077c
Heal,0x200077d
Iceball,0x200077e
Jinx,0x200077f
Kill,0x2000780
Light,0x2000781
Magic Missile,0x2000782
Negate,0x2000783
Open,0x2000784
Protection,0x2000785
Quickness,0x2000786
Resurrect,0x2000787
Sleep,0x2000788
Tremor,0x2000789
Undead,0x200078a
View,0x200078b
Wind Change,0x200078c
X-it,0x200078d
Y-up,0x200078e
Z-down,0x200078f
Blue,0x2000790
Yellow,0x2000791
Red,0x2000792
Green,0x2000793
Orange,0x2000794
Purple,0x2000795
White,0x2000796
Black,0x2000797
bamboo,0x2000798
box,0x2000799
bridge railing,0x200079a
bridge railing,0x200079b
brush,0x200079c
castle,0x200079d
castle,0x200079e
column,0x200079f
crag,0x20007a0
brick floor,0x20007a1
planks,0x20007a2
footbridge,0x20007a3
forest,0x20007a4
grass,0x20007a5
hills,0x20007a6
lava,0x20007a7
marsh,0x20007a8
mountains,0x20007a9
rocks,0x20007aa
mast,0x20007ab
wheel,0x20007ac
shallow water,0x20007ad
sign showing the letter 'A',0x20007ae
sign showing the letter 'B',0x20007af
sign showing the letter 'C',0x20007b0
sign showing the letter 'D',0x20007b1
sign showing the letter 'E',0x20007b2
sign showing the letter 'F',0x20007b3
sign showing the letter 'G',0x20007b4
sign showing the letter 'H',0x20007b5
sign showing the letter 'I',0x20007b6
sign showing the letter 'J',0x20007b7
sign showing the letter 'K',0x20007b8
sign showing the letter 'L',0x20007b9
left edge of a sign,0x20007ba
sign showing the letter 'M',0x20007bb
sign showing the letter 'N',0x20007bc
sign showing the letter 'O',0x20007bd
sign showing the letter 'P',0x20007be
sign showing the letter 'Q',0x20007bf
sign showing the letter 'R',0x20007c0
right edge of a sign,0x20007c1
sign showing the letter 'S',0x20007c2
sign showing a blank space,0x20007c3
sign showing the letter 'T',0x20007c4
sign showing the letter 'U',0x20007c5
sign showing the letter 'V',0x20007c6
sign showing the letter 'W',0x20007c7
sign showing the letter 'X',0x20007c8
sign showing the letter 'Y',0x20007c9
sign showing the letter 'Z',0x20007ca
brick wall,0x20007cb
stone wall,0x20007cc
white wall,0x20007cd
deep water,0x20007ce
water,0x20007cf
window,0x20007d0
Palm,0x20007d1
Rose,0x20007d2
Sword,0x20007d3
Scales,0x20007d4
Tear,0x20007d5
Chalice,0x20007d6
Ankh,0x20007d7
Crook,0x20007d8
Magic Axe,0x20007d9
Axe,0x20007da
Boulder,0x20007db
Magic Bow,0x20007dc
Bow,0x20007dd
Cannon Fire,0x20007de
Crossbow,0x20007df
Dagger,0x20007e0
Fire,0x20007e1
Fireball,0x20007e2
Flame Oil,0x20007e3
Halberd,0x20007e4
Iceball,0x20007e5
Lava,0x20007e6
Lightning,0x20007e7
Mace,0x20007e8
Magic Missile,0x20007e9
Poison,0x20007ea
Sleep,0x20007eb
Sling,0x20007ec
Staff,0x20007ed
Magic Sword,0x20007ee
Mystic Sword,0x20007ef
Sword,0x20007f0
Magic Wand,0x20007f1
air balloon,0x20007f2
altar,0x20007f3
ankh,0x20007f4
bed,0x20007f5
bed,0x20007f6
blood,0x20007f7
corpse,0x20007f8
body,0x20007f9
dragon bones,0x20007fa
bones,0x20007fb
bookshelf,0x20007fc
bookshelf,0x20007fd
bookshelf,0x20007fe
rocks,0x20007ff
chest,0x2000800
Codex of Ultimate Wisdom,0x2000801
crate,0x2000802
door,0x2000803
door of the Codex Chamber,0x2000804
locked door,0x2000805
locked door with a window,0x2000806
door with a window,0x2000807
energy field,0x2000808
fire field,0x2000809
force field,0x200080a
lightning field,0x200080b
poison field,0x200080c
sleep field,0x200080d
fountain,0x200080e
grate,0x200080f
cross,0x2000810
headstone,0x2000811
Codex Guardian,0x2000812
Codex Guardian,0x2000813
horse,0x2000814
Ivory Serpent,0x2000815
Ivory Serpent,0x2000816
lava,0x2000817
magic field,0x2000818
Moongate,0x2000819
magical orb,0x200081a
ship,0x200081b
shallow water,0x200081c
skiff,0x200081d
spit,0x200081e
stand,0x200081f
statue of an adventurer,0x2000820
statue of a daemon,0x2000821
suit of armour,0x2000822
table,0x2000823
table,0x2000824
table,0x2000825
telescope,0x2000826
concealed trap,0x2000827
dead tree,0x2000828
tree,0x2000829
twister,0x200082a
Void,0x200082b
brick wall,0x200082c
stone wall,0x200082d
wall,0x200082e
wall,0x200082f
wall,0x2000830
wall,0x2000831
deep water,0x2000832
water,0x2000833
well,0x2000834
whirlpool,0x2000835
"An official copy of %s is required to exist on your computer and can be legally downloaded at gog.com. If %s is already installed, please specify the path to the game folder:",0x2000836
secret door,0x2000837
He,0x2000838
She,0x2000839
It,0x2000840
The child,0x2000841
Browse,0x2000842
Path,0x2000843
Energy Type,0x2000844
tiled floor,0x2000845
brick wall,0x2000846
Void,0x2000847
Number of mixtures?,0x2000848
Back,0x2000849
Cancel,0x200084a
On,0x200084b
Off,0x200084c
Music,0x200084d
SFX,0x200084e
Volume,0x200084f
Master,0x2000850
Sound Pack,0x2000851
Fullscreen,0x2000852
Resolution,0x2000853
Graphics Pack,0x2000854
Display,0x2000855
Audio,0x2000856
Miscellaneous,0x2000857
Close,0x2000858
Player Names,0x2000859
Player Vitals,0x200085a
circle of stones,0x200085b
Blow Horn!,0x200085c
Your copy has been verified.,0x200085d
Combat History,0x200085e
Move History,0x200085f
Britain Armoury,0x2000860
Britain Weapons,0x2000861
The Pub,0x2000862
Ye Local Grocer,0x2000863
Le Holy Healing,0x2000864
Equine Emporium,0x2000865
The Guild,0x2000866
Radrion: Prophet of Life,0x2000867
Unknown,0x2000868
Location,0x2000869
How many wouldst thou like to sell?,0x200086a
I will buy each %s at %ugp each for a total of %ugp. Deal?,0x200086b
How many?,0x200086c
Map,0x200086d
shrine,0x200086e
village,0x200086f
dungeon,0x2000870
towne,0x2000871
tower,0x2000872
castle,0x2000873
castle,0x2000874
dungeon,0x2000875
castle,0x2000876
towne,0x2000877
towne,0x2000878
dungeon,0x2000879
ladder leading up and down,0x200087a
ladder leading down,0x200087b
ladder leading up,0x200087c
ladder leading down,0x200087d
ladder leading up and down,0x200087e
ladder leading up,0x200087f
ladder leading up,0x2000880
ladder leading down,0x2000881
ladder leading up and down,0x2000882
brick wall,0x2000883
horse,0x2000884
Alakazam!,0x2000885
Tribute (100 Gold),0x2000886
Agility + %d,0x2000887
Charisma + %d,0x2000888
Stamina + %d,0x2000889
A clerk states: Welcome to the Hotel California!,0x200088a
Request Room (50 Gold),0x200088b
Request Room + Tip (100 Gold),0x200088c
"Time and travel made me wise... Precious gold, a clue it buys!",0x200088d
"Ask me no questions, I'll tell you no lies",0x200088e
Pay %u Gold,0x200088f
Get Cache!,0x2000890
You find a magic ring!,0x2000891
You find,0x2000892
The sign reads:,0x2000893
Blade,0x2000894
Pommel,0x2000895
Hilt,0x2000896
Minax cries: Die fool!,0x2000898
She's gone!!!,0x2000899
Your spacecraft has been repaired!,0x200089b
Mondain casts psionic shock!,0x200089c
Mondain casts mind blaster!,0x200089d
Mondain casts magic missile!,0x200089e
INTERFICIO-NUNC! The spell doth seem to make him stronger!,0x200089f
He's watching. That would be foolish!,0x20008a0
Mondain will not negotiate!,0x20008a1
Horse,0x20008a2
Divine,0x20008a3
Arcane,0x20008a4
From which division of magic?,0x20008a5
Fal Divi Sequitu,0x20008a6
Are you sure you want to quit?,0x20008a7
Board raft!,0x20008a8
Grasp the Gem of Immortality!,0x20008a9
Fare thee well and good luck!,0x20008ab
Offer %u Gold?,0x20008ac
The healer,0x20008ae
I see by thy purse that thou hast not enough gold. I cannot aid thee.,0x20008af
You can't carry more!,0x20008b0
Thou hast achieved the rank of Space Ace!,0x20008b1
Food and Health,0x20008b2
Healers Three,0x20008b3
Sanescere,0x20008b4
Dawn Healing,0x20008b5
The Royal Healer,0x20008b6
Capessii Cantom,0x20008b7
Grey Rations,0x20008b8
Food and Health,0x20008b9
Ambrosian Delight,0x20008ba
Fawn Provisions,0x20008bb
Yew Aliment,0x20008bc
Draught or Spot,0x20008bd
Dawn Grocery,0x20008be
Dawn Armour,0x20008bf
Dawn Weapons,0x20008c0
Death Gulch Armours,0x20008c1
Death Gulch Weapons,0x20008c2
Grey Armour,0x20008c3
Grey Weapons,0x20008c4
Ace Armoury,0x20008c5
Acme Weaponry,0x20008c6
West Armour,0x20008c7
West Weapon,0x20008c8
The Blue Boar,0x20008c9
Taphouse,0x20008ca
Le Grogshop,0x20008cb
The Brown Orc,0x20008cc
West Bar,0x20008cd
Canteen,0x20008ce
Draught or Spot,0x20008cf
Ballyhoo,0x20008d0
Thieves Guild,0x20008d1
Tools of Trade,0x20008d2
Grey Guild,0x20008d3
The Stables,0x20008d4
<G#Prompt:vcenter>Welcome to <C#00FF00>Classic Ultima Online<C#FFFFFF>,0x20008d5
<G#Prompt:vcenter><F#runes>Welcome to <C#00FF00>Classic Ultima Online<C#FFFFFF>,0x20008d6
<G#Prompt:vcenter>This game is in alpha testing! Please report all bugs at <C#00FF00>www.shatteredmoon.com<C#FFFFFF>,0x20008d7
<G#Prompt:vcenter>Press F1 to access game menu. Type /help for more information.,0x20008d8
"Use arrow keys, numpad, or mouse to move.<b>Press F1 for the game menu.<b>Press 'Q' to quit game.<b><b>For a list of commands, type /help commands.",0x20008d9
"/global [msg], /g [msg] - Send a chat message to all players.|/help [subcommand] - Provides game help.|/map [msg], /m [msg] - Send a chat message to all players on the same map.|/party [msg], /p [msg] - Send a chat message to all players in your party.|/password [old] [new] - Updates your game password.|/say [msg], /s [msg] - Sends a chat message to all players in your immediate vicinity.|/stuck - Kills the player.|/tell [player] [msg] - Sends a private chat to the designated player.|/who - Lists all online players.",0x20008da
"A) Attack - Attempt to harm opponent with whatever weapon thou dost currently hold. Must be followed with a direction key.|B) Board - Board a horse, raft, frigate, or other form of transport--if thou art standing upon or near it.|C) Cast - Cast a spell.|D) Descend - Climb down the ladder to the next lower dungeon level.|E) Enter - Enter the towne, castle, dungeon, or other landmark upon which thou art standing.|F) Fire - Ye may fire upon foes using the guns of your ship, or any other armed vehicle.|G) Get - Pick up items which thou art standing over while in castles and other places.|I) Ignite - Ignite a torch - Lights a player's torch.K) Klimb - Ladders in dungeons may lead to fortune or doom; by means of this command thou canst use them.|N) Nip potion - Drinks a potion which will heal the player.|O) Open door - Open a door in the direction indicated.|Q) Quit (and save to disk) - Use this command to stop playing. Upon resuming thy quest, all will be as it was.|R) Ready - Equip thyself with a certain weapon. This must be performed prior to using an item.|S) Steal - May be used behind the unwatched counters of shoppes and in dark caches in castles. Beware, for the guards frown on this sort of behaviour.|T) Transact - Conduct business with merchants or kings.|U) Use - Use an item thou hast found during play.|V) Volume - Toggles Music and Sound Effects On/Off.|W) Wear - Wear a suit of armour. This must be performed prior to using an item.|X) X-it - Leave behind or dismount current craft and travel on foot.|Ztats - Shows vital statistics, possessions, and spells.",0x20008db
"A) Attack - Attack attempts to damage foe with ""ready weapons"", must be followed by the direction of thy foe.|B) Board - Board a frigate or mount a horse.|C) Cast - Cast a magic spell; must be followed by the spell type (W/C) when needed, and the spell letter.|D) Descend - Climb down the ladder to the next lower dungeon level.|E) Enter - Go into places such as town, castles and dungeons.|F) Fire - Fire a ship's cannons (once thou hast boarded), in direction indicated in an attempt to obliterate thy foes.|G) Get chest - Open chest and acquire contents.|H) Hyperspace - Jump to solar system coordinates while in space.|I) Ignite a torch - Lights a player's torch.|J) Jimmy lock - Use a magical key to unlock a sealed door. Must be followed by the direction of the door that thou dost wish to unlock.|K) Klimb - Climb up a ladder to the next higher dungeon level or surface.|L) Look - Identifies object in given direction.|N) Nip potion - Drinks a potion which will heal the player.|O) Open door - Open a door in the direction indicated.|P) Peer - Players with certain special items may see a magical map of current terrain, one use per item.Q) Quit & Save - Exits gameplay and returns the player to the game menu.|R) Ready weapon - Equips a player with the weapon of thy choice, if owned, for use in combat.|S) Steal - Attempts to steal chests from behind store counters, success based on thieving ability.|T) Transact - Allows a player to trade with shops or talk to townspeople in order to collect clues vital to winning the game.|U) Use - Use an item thou hast found during play.|V) Volume - Toggles sound effects on and off.|W) Wear armour - Outfits a player with the armour of thy choice, if owned, for defense in combat.|X) Xit - That's exit, dismount horse or leave frigate.|Y) Yell - Allows player to yell any word one feels may be useful.|Z) Ztatus - Displays a player's status, attributes, and possessions.",0x20008dc
"A) Attack - Attack attempts to damage foe with ""ready weapons"", must be followed by the direction of thy foe.|B) Board - Board a frigate or mount a horse.|C) Cast - Cast a magic spell; must be followed by the spell type (W/C) when needed, and the spell letter.|D) Descend - Climb down the ladder to the next lower dungeon level.|E) Enter - Go into places such as town, castles and dungeons.|F) Fire - Fire a ship's cannons (once thou hast boarded), in direction indicated in an attempt to obliterate thy foes.|G) Get chest - Open chest and acquire contents.|I) Ignite a torch - Lights a player's torch.|J) Jimmy lock - Use a magical key to unlock a sealed door. Must be followed by the direction of the door that thou dost wish to unlock.|K) Klimb - Climb up a ladder to the next higher dungeon level or surface.|L) Look - Identifies object in given direction.|N) Nip potion - Drinks a potion which will cure the player if poisoned or otherwise heal the player.|O) Open door - Open a door in the direction indicated.|O) Other command - Allows a player to enter a command-not given in this list but rather determined during game play.|P) Peer at a gem - Players with certain special items may see a magical map of current terrain, one use per item.Q) Quit & Save - Exits gameplay and returns the player to the game menu.|R) Ready weapon - Equips a player with the weapon of thy choice, if owned, for use in combat.|S) Steal - Attempts to steal chests from behind store counters, success based on thieving ability.|T) Transact - Allows a player to trade with shops or talk to townspeople in order to collect clues vital to winning the game.|U) Use - Use an item thou hast found during play.|V) Volume - Toggles sound effects on and off.|W) Wear armour - Outfits a player with the armour of thy choice, if owned, for defense in combat.|X) Xit - That's exit, dismount horse or leave frigate.|Y) Yell - Allows player to yell any word one feels may be useful.|Z) Ztatus - Displays a player's status, attributes, and possessions.",0x20008dd
"A) Attack - Attempt to engage thy foe with the weapons thou hast readied (Ready Weapon command); must be followed by the direction of thy foe.|B) Board - Board a vessel or mount a horse.|C) Cast - Cast a magical spell; must be followed by the number of the player who wishes to cast it (not needed in combat or in dungeon rooms), and then the first letter of the desired spell. Note: All spells must have reagents mixed in advance of casting.|D) Descend - Climb down ladder to next level of dungeon or building.|E) Enter - Go into such places as villages, townes, castles, dungeons, and shrines.|F) Fire - Fire a ship's cannons (once thou hast Boarded); must be followed by a direction. Note: Broadsides only!|G) Get Chest - Attempt to open (and disarm, if trapped) chest.|H) Hole up and camp - Set up camp to rest and recover from thy wounds. Note: This command may only be used with limited frequency.|I) Ignite a torch - Light a torch for illumination in dungeons. Requires a special item.|J) Jimmy lock - Use a magical key to unlock a sealed door. Must be followed by the direction of the door that thou dost wish to unlock.|K) Klimb - Climb up a ladder to the next level of a building or dungeon, or to reach the surface from the topmost level of a dungeon.|L) Look - Describes everything in a given direction, and sometimes prompts the player for further instructions.|M) Mix Reagents - Prepare material components of spells for later use. Note: Thou must have reagents mixed ahead of time in order to cast any spells.|N) Nip potion - Drinks a potion which will cure the player if poisoned or otherwise heal the player.|O) Open door - Open a door in the direction indicated.|P) Peer at gem - Requires a special item.|Q) Quit & Save - Exits gameplay and returns the player to the game menu.|R) Ready a weapon - Equip a player with the weapon of thy choice (if owned) for use in combat.|S) Search - Search thy exact current location for unusual items.|T) Talk - Allows a player to converse with merchants or townsfolk in the direction indicated.|U) Use - Use an item thou hast found during play.|V) Volume - Toggles Music and Sound Effects On/Off.|W) Wear armour - Outfits a player with the armour of thy choice (if owned) for defense in combat.|X) Xit - That's (e)xit thy current form of transportation and continue on foot.|Y) Yell - Yell a message of your choice so that all nearby players might hear.|Z) Ztats - Displays the status and attributes of a selected player.",0x20008de
Must be eight parts avatar!,0x20008df
